date,Nifty 500
2024-10-24,22787.85
2024-10-23,22841.1
2024-10-22,22814.45
2024-10-21,23263.25
2024-10-18,23440.7
2024-10-17,23377.0
2024-10-16,23673.15
2024-10-15,23735.7
2024-10-14,23727.05
2024-10-11,23611.25
2024-10-10,23598.15
2024-10-09,23599.6
2024-10-08,23512.55
2024-10-07,23181.95
2024-10-04,23534.95
2024-10-03,23755.45
2024-10-01,24271.3
2024-09-30,24245.2
2024-09-27,24489.55
2024-09-26,24496.9
2024-09-25,24371.25
2024-09-24,24389.7
2024-09-23,24379.2
2024-09-20,24193.8
2024-09-19,23853.95
2024-09-18,23898.65
2024-09-17,23969.9
2024-09-16,23968.2
2024-09-13,23928.2
2024-09-12,23907.35
2024-09-11,23531.25
2024-09-10,23643.65
2024-09-09,23502.15
2024-09-06,23477.7
2024-09-05,23762.8
2024-09-04,23748.9
2024-09-03,23788.45
2024-09-02,23760.7
2024-08-30,23734.55
2024-08-29,23631.4
2024-08-28,23615.95
2024-08-27,23604.85
2024-08-26,23561.75
2024-08-23,23418.65
2024-08-22,23440.7
2024-08-21,23368.65
2024-08-20,23280.35
2024-08-19,23139.75
2024-08-16,23056.5
2024-08-14,22672.65
2024-08-13,22705.8
2024-08-12,22915.85
2024-08-09,22923.5
2024-08-08,22705.7
2024-08-07,22848.9
2024-08-06,22443.3
2024-08-05,22542.45
2024-08-02,23259.45
2024-08-01,23506.6
2024-07-31,23530.8
2024-07-30,23440.9
2024-07-29,23394.2
2024-07-26,23292.05
2024-07-25,22917.25
2024-07-24,22921.45
2024-07-23,22865.2
2024-07-22,22942.65
2024-07-19,22853.6
2024-07-18,23210.05
2024-07-16,23204.25
2024-07-15,23209.85
2024-07-12,23095.45
2024-07-11,23005.25
2024-07-10,22977.65
2024-07-09,23067.35
2024-07-08,22971.15
2024-07-05,22987.65
2024-07-04,22914.2
2024-07-03,22851.2
2024-07-02,22677.8
2024-07-01,22727.6
2024-06-28,22559.7
2024-06-27,22537.4
2024-06-26,22436.8
2024-06-25,22370.65
2024-06-24,22289.1
2024-06-21,22236.2
2024-06-20,22305.1
2024-06-19,22224.9
2024-06-18,22329.6
2024-06-14,22214.3
2024-06-13,22074.3
2024-06-12,21960.95
2024-06-11,21852.0
2024-06-10,21808.25
2024-06-07,21764.15
2024-06-06,21365.0
2024-06-05,21054.4
2024-06-04,20323.85
2024-06-03,21797.4
2024-05-31,21103.3
