date,Nifty 65 35
2023-10-03,100.0
2023-10-04,99.5032917
2023-10-05,99.84231037
2023-10-06,99.91861929
2023-10-09,99.20129069
2023-10-10,99.95278801
2023-10-11,100.4575781
2023-10-12,100.5228301
2023-10-13,100.3768897
2023-10-16,100.375508
2023-10-17,100.6759623
2023-10-18,100.1571437
2023-10-19,100.0008518
2023-10-20,99.6351509
2023-10-23,98.40866446
2023-10-25,98.03424903
2023-10-26,97.21248414
2023-10-27,98.04456337
2023-10-30,98.24518999
2023-10-31,98.20223195
2023-11-01,97.93429578
2023-11-02,98.6220991
2023-11-03,99.05705937
2023-11-06,99.70230476
2023-11-07,99.87699951
2023-11-08,100.187394
2023-11-09,100.0344944
2023-11-10,100.1089687
2023-11-12,100.5167221
2023-11-13,100.4035171
2023-11-15,101.2702269
2023-11-16,101.5819799
2023-11-17,101.6628384
2023-11-20,101.4879003
2023-11-21,101.6573646
2023-11-22,101.7152047
2023-11-23,101.753518
2023-11-24,101.7310279
2023-11-28,102.1255091
2023-11-29,102.7961425
2023-11-30,103.0534346
2023-12-01,103.5138422
2023-12-04,104.8368976
2023-12-05,105.392339
2023-12-06,105.7775018
2023-12-07,105.9028829
2023-12-08,105.8359377
2023-12-11,106.072481
2023-12-12,105.7787886
2023-12-13,106.0681138
2023-12-14,107.0672747
2023-12-15,107.794165
2023-12-18,107.8806192
2023-12-19,107.8963747
2023-12-20,106.4335399
2023-12-21,107.0208076
2023-12-22,107.4440386
2023-12-26,107.8380922
2023-12-27,108.3524702
2023-12-28,108.73753
2023-12-29,108.9318012
2024-01-01,109.0511526
2024-01-02,108.8396032
2024-01-03,108.6311703
2024-01-04,109.2831904
2024-01-05,109.4414082
2024-01-08,108.8861062
2024-01-09,109.0840981
2024-01-10,109.337657
2024-01-11,109.6272287
2024-01-12,110.2101925
2024-01-15,110.828643
2024-01-16,110.6231132
2024-01-17,109.3098156
2024-01-18,109.0064349
2024-01-19,109.721499
2024-01-20,109.7115897
2024-01-23,108.2649258
2024-01-24,109.17754
2024-01-25,108.9883369
2024-01-29,110.2188331
2024-01-30,109.7389731
2024-01-31,110.6287204
2024-02-01,110.7365251
2024-02-02,111.2791082
2024-02-05,110.9859388
2024-02-06,111.6697704
2024-02-07,112.0041406
2024-02-08,111.5349438
2024-02-09,111.3673411
2024-02-12,110.3475486
2024-02-13,110.7609543
2024-02-14,111.2512015
2024-02-15,111.7610858
2024-02-16,112.215854
2024-02-19,112.5240398
2024-02-20,112.7386683
2024-02-21,112.2462045
2024-02-22,112.7965476
2024-02-23,112.8803358
2024-02-26,112.7185135
2024-02-27,112.8518441
2024-02-28,111.8405288
2024-02-29,112.0851439
2024-03-01,113.1152034
2024-03-02,113.3917862
2024-03-04,113.4452201
2024-03-05,113.2715601
2024-03-06,113.2759361
2024-03-07,113.5495381
2024-03-11,113.0678529
2024-03-12,112.602888
2024-03-13,110.6010652
2024-03-14,111.6191858
2024-03-15,111.2322719
2024-03-18,111.2600078
2024-03-19,110.3709906
2024-03-20,110.4540653
2024-03-21,111.5756495
2024-03-22,111.8611442
2024-03-26,111.9211124
2024-03-27,112.2813911
2024-03-28,112.9678473
2024-04-01,113.8832985
2024-04-02,114.0443101
2024-04-03,114.1951056
2024-04-04,114.4477518
2024-04-05,114.5912258
2024-04-08,114.9154625
2024-04-09,114.8155181
2024-04-10,115.3813683
2024-04-12,114.6045862
2024-04-15,113.6320307
2024-04-16,113.407606
2024-04-18,113.0790716
2024-04-19,113.239437
2024-04-22,114.0305492
2024-04-23,114.3614092
2024-04-24,114.6355593
2024-04-25,115.1036214
2024-04-26,114.9973496
2024-04-29,115.5986096
2024-04-30,115.6236879
2024-05-02,116.0440888
2024-05-03,115.6140683
2024-05-06,115.3828664
2024-05-07,114.479748
2024-05-08,114.7435985
2024-05-09,113.4108956
2024-05-10,113.9054037
2024-05-13,114.1120673
2024-05-14,114.7971256
2024-05-15,115.0710314
2024-05-16,115.8120974
2024-05-17,116.2823706
2024-05-18,116.5904092
2024-05-21,116.8120542
2024-05-22,117.1009894
2024-05-23,118.056762
2024-05-24,118.0397145
2024-05-27,118.1405075
2024-05-28,117.7133757
2024-05-29,117.1913585
2024-05-30,116.3841858
